ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
DC1117EW0130,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0131,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0132,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_042, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0133,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0134,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0135,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_043, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0136,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0137,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0138,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_044, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0139,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0140,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0141,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_045, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0142,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0143,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0144,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_046, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0145,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0146,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0147,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_047, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0148,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0149,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0150,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_048, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0151,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0152,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0153,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_049, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0154,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0155,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0156,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_050, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0157,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0158,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0159,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_051, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0160,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0161,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0162,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_052, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0163,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0164,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0165,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_053, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0166,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0167,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0168,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_054, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0169,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0170,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0171,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_055, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0172,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0173,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0174,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_056, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0175,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0176,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0177,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_057, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0178,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0179,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0180,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_058, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0181,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0182,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0183,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_059, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0184,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0185,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0186,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_060, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0187,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0188,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0189,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_061, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0190,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0191,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0192,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_062, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0193,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0194,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0195,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_063, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0196,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_064, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0197,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_064, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0198,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_064, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0199,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_065, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0200,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_065, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0201,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_065, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0202,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_066, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0203,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_066, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0204,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_066, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0205,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_067, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0206,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_067, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0207,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_067, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0208,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_068, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0209,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_068, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0210,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_068, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0211,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_069, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0212,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_069, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0213,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_069, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0214,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_070, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0215,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_070, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0216,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_070, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0217,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_071, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0218,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_071, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0219,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_071, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0220,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_072, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0221,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_072, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0222,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_072, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0223,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_073, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0224,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_073, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0225,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_073, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0226,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_074, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0227,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_074, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0228,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_074, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0229,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_075, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0230,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_075, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0231,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_075, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0232,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_076, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0233,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_076, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0234,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_076, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0235,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_077, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0236,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_077, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0237,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_077, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0238,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_078, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0239,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_078, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0240,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_078, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0241,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_079, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0242,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_079, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0243,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_079, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0244,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_080, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0245,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_080, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0246,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_080, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0247,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_081, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0248,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_081, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0249,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_081, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0250,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_082, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0251,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_082, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0252,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_082, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0253,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_083, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0254,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_083, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0255,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_083, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0256,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_084, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0257,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_084, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0258,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_084, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0259,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPdI8I1, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0260,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPdI8I1, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0261,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_TFPdI8I1, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
